idx,link
125,http://www.c-span.org/video/?407795-1/hillary-clinton-campaign-event-pittsburgh
126,http://www.c-span.org/video/?407671-1/hillary-clinton-campaign-event-cohoes-new-york
127,http://www.c-span.org/video/?407537-2/wisconsin-democratic-party-founders-day-gala-hillary-clinton-remarks
128,http://www.c-span.org/video/?407457-1/hillary-clinton-campaign-event-harlem-new-york
129,http://www.c-span.org/video/?407475-1/representative-charlie-rangel-meeting-hillary-clinton
130,http://www.c-span.org/video/?407164-1/hillary-clinton-remarks-counterterrorism
131,http://www.c-span.org/video/?407066-1/hillary-clinton-primary-night-speech
132,http://www.c-span.org/video/?407051-1/hillary-clinton-campaign-rally-phoenix-arizona
133,http://www.c-span.org/video/?406394-1/hillary-clinton-campaign-event-st-louis-missouri
134,http://www.c-span.org/video/?406131-1/hillary-clinton-campaign-rally-detroit-michigan
135,http://www.c-span.org/video/?405998-1/hillary-clinton-remarks-detroit-michigan
136,http://www.c-span.org/video/?405773-1/hillary-clinton-super-tuesday-election-night-speech
137,http://www.c-span.org/video/?405409-1/hillary-clinton-campaign-rally-fairfax-virginia
138,http://www.c-span.org/video/?405395-1/hillary-clinton-campaign-rally-orangeburg-south-carolina
139,http://www.c-span.org/video/?405130-1/hillary-clinton-forum-gun-violence-policing-practices
140,http://www.c-span.org/video/?405018-1/hillary-clinton-caucus-night-speech
141,http://www.c-span.org/video/?404899-1/hillary-clinton-campaign-rally-las-vegas
142,http://www.c-span.org/video/?404629-1/2016-humphreymondale-dinner
143,http://www.c-span.org/video/?404516-1/hillary-clinton-primary-night-speech
144,http://www.c-span.org/video/?404415-1/hillary-clinton-campaign-rally-manchester-new-hampshire
145,http://www.c-span.org/video/?404272-1/hillary-clinton-campaign-rally-portsmouth-new-hampshire
146,http://www.c-span.org/video/?404253-2/presidential-candidate-hillary-clinton-meetandgreet
147,http://www.c-span.org/video/?404253-1/2016-mcintyreshaheen-100-club-celebration
