,Clinton,Trump
break down all,1.04049577655,0.96108030666
broadband,2.30741448432,0.433385508671
broader,3.57657557204,0.279597055859
build a wall,1.28906159227,0.775758122032
build on,2.37802898548,0.420516320914
build on the,1.4134076142,0.707509985055
buildings,0.394961902038,2.53188977175
built,0.490844552254,2.03730487668
businesses,0.850268396639,1.17609922226
but,0.883181093631,1.13227061495
but he,0.77857763951,1.28439342367
but they,0.531157098314,1.88268217289
but you,0.646922752094,1.54577961088
by the,0.982478755569,1.01783371328
by the end,1.02785841692,0.972896639791
by the way,0.194018998043,5.15413444089
call,0.657812645641,1.52018968718
came,0.952844307646,1.04948939924
came down,0.394538765649,2.53460518222
campaign,1.48402733603,0.673842034927
can,1.22537908948,0.816073987704
can afford,1.18325368218,0.845127308761
can be,1.41602757893,0.706200934842
can do,0.720481855288,1.38796000574
can do this,2.61320381159,0.382672027173
can do to,1.13447337433,0.88146625794
can to,5.89684856872,0.169582106162
can to make,1.17084990542,0.854080437955
care,1.11732000655,0.894998741751
care act,1.52076985676,0.657561691897
care of,0.449544226901,2.22447523549
care of our,0.871487695809,1.14746313093
carl,0.241312340186,4.14400688845
carrier,0.326832533626,3.05967092354
cars,0.429024818101,2.33086748787
carson,0.550634344961,1.81608722585
century,2.85759669742,0.349944413396
challenge,4.33149952467,0.230866930564
challenges,3.44497411014,0.29027794347
chance,1.62175261755,0.616616855849
chance to,1.44461336009,0.692226742202
chance to live,1.07839917603,0.927300411781
change,0.738958189249,1.35325653677
changes,2.45883843294,0.406696099509
charleston,2.92130663901,0.342312575697
cheers,2.9092221026,0.343734498341
cheers and,1.6012189104,0.624524225578
chief,1.10282380334,0.906763162864
child,1.34382772158,0.744143005791
childcare,2.30022335542,0.434740390599
childhood,2.79518150757,0.357758520258
childhood education,1.61885392095,0.617720961144
children,1.48886819332,0.671651127002
children and,0.890482022941,1.12298729703
children s,2.88349750253,0.346801063335
children s defense,1.53920910078,0.649684308319
children s health,1.24207199901,0.80510630688
china,0.47264837441,2.11573773262
choices,3.99921340679,0.250049171745
cities,1.14621113894,0.872439610839
citizens,0.959802126447,1.04188141748
citizens united,7.82028597732,0.127872561553
citizenship,1.92366911658,0.519839920172
civil,1.67303137428,0.597717422025
civil rights,0.828930431408,1.20637385492
class,2.12184044727,0.47128897052
class families,1.37561940051,0.726945257989
class life,1.46018317017,0.684845586795
clean,1.99022781164,0.502455042659
clean energy,4.86014873789,0.205755019842
clean energy superpower,1.2997903408,0.769354847939
clean renewable,1.34917568231,0.741193317603
clear,3.835499819,0.260722212799
climate,7.12517185755,0.140347491961
climate change,5.38451359956,0.185717796326
climate change and,1.20694812911,0.828536020628
cnn,0.490674475456,2.03801104403
coalition,1.27320600863,0.785418850699
code,2.89209433182,0.345770187715
colleagues,2.15567972601,0.463890803414
college,4.46814624974,0.223806461138
college affordable,1.22957209415,0.81329106667
college and,0.850765537707,1.1754119739
